"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"25","25","","","0",""
"29","29","","","0",""
"92","92","","","0",""
"102","102","","","2","300"
"211","211","","","0",""
"215","215","","","0",""
"102","102","EMDE_201_702","EMDE_201_2","1",""
"102","102","EMDE_201_1900","EMDE_201_2","1",""
"102","102","EMDE_201_814","EMDE_201_4","1",""
"102","102","EMDE_201_1612","EMDE_201_4","1",""
"102","102","EMDE_201_1294","EMDE_201_8","1",""
"102","102","EMDE_201_1520","EMDE_201_8","1",""
"102","102","EMDE_201_1294","EMDE_201_10","1",""
"102","102","EMDE_201_1520","EMDE_201_10","1",""
"102","102","EMDE_201_1298","EMDE_201_12","1",""
"102","102","EMDE_201_2350","EMDE_201_12","1",""
"102","102","EMDE_201_170","EMDE_201_18","1",""
"102","102","EMDE_201_2064","EMDE_201_18","1",""
"102","102","EMDE_201_2064","EMDE_201_18_1","1",""
"102","102","EMDE_201_2360","EMDE_201_18_1","1",""
"102","102","EMDE_201_1660","EMDE_201_20","1",""
"102","102","EMDE_201_1660_1","EMDE_201_20","1",""
"102","102","EMDE_201_770","EMDE_201_22","1",""
"102","102","EMDE_201_874","EMDE_201_22","1",""
"102","102","EMDE_201_1068","EMDE_201_24","1",""
"102","102","EMDE_201_2776","EMDE_201_24","1",""
"102","102","EMDE_201_286","EMDE_201_26","1",""
"102","102","EMDE_201_2784","EMDE_201_26","1",""
"27","27","EMDE_201_31","EMDE_201_217","1",""
"27","27","EMDE_201_194","EMDE_201_32","1",""
"27","27","EMDE_201_136","EMDE_201_36","1",""
"27","27","EMDE_201_148","EMDE_201_38","1",""
"27","27","EMDE_201_168","EMDE_201_40","1",""
"27","27","EMDE_201_41","EMDE_201_133","1",""
"102","102","EMDE_201_1660","EMDE_201_42","1",""
"102","102","EMDE_201_1660_1","EMDE_201_42","1",""
"27","27","EMDE_201_43","EMDE_201_167","1",""
"102","102","EMDE_201_272","EMDE_201_44","1",""
